temperature,pressure,humidity,NaCl,KCl
0.916516909001797,0.16744186046511628,0.0719434832756632,0.32558139534883723,0.8333333333333336
0.3319719000163372,0.3813953488372092,0.6793540945790081,0.7209302325581396,0.04166666666666663
0.6240810325110278,0.14883720930232552,0.9398788927335641,0.4186046511627908,0.7916666666666669
0.38294396340467257,0.13488372093023254,0.9651095732410611,0.7209302325581396,0.20833333333333337
0.3414474759026303,0.5720930232558139,0.6023644752018456,0.2558139534883721,0.33333333333333337
0.5995752328050972,0.13488372093023254,0.926470588235294,0.4883720930232559,0.45833333333333337
0.43130207482437505,0.14418604651162786,0.7639850057670127,0.023255813953488413,0.41666666666666663
0.33115504002613955,0.4930232558139534,0.709486735870819,0.8372093023255817,0.33333333333333337
0.7258617872896584,0.1906976744186047,0.18786043829296425,0.7906976744186048,0.3750000000000001
0.035451723574579375,0.08372093023255817,0.7246251441753172,0.37209302325581395,0.7500000000000001
0.12857376245711488,0.1255813953488371,0.7463956170703575,0.06976744186046513,0.3750000000000001
0.09753308282960305,0.5999999999999999,0.473327566320646,0.2325581395348837,0.2500000000000001
0.8309099820290802,0.013953488372093037,0.06430219146482122,0.06976744186046513,0.7916666666666669
0.11436039862767522,0.25581395348837205,0.728085351787774,0.5348837209302326,0.7916666666666669
0.9859500081685999,0.023255813953488302,0.08910034602076125,0.6976744186046512,0.33333333333333337
0.11615749060611019,0.8418604651162789,0.6714244521337948,0.5813953488372093,0.41666666666666663
0.27675216467897407,0.5302325581395348,0.6917531718569782,0.6046511627906977,0.5416666666666666
0.9843162881882046,0.1395348837209302,0.026672433679354096,0.4418604651162791,0.9166666666666666
0.11648423460218926,0.06046511627906975,0.8017589388696655,0.5581395348837209,0.20833333333333337
0.05783368730599581,0.046511627906976716,0.7848904267589389,0.5813953488372093,0.6666666666666666
0.10129063878451239,0.041860465116279055,0.7709054209919263,0.6279069767441862,0.5000000000000001
0.10880575069433102,0.03255813953488368,0.754325259515571,0.09302325581395354,0.41666666666666663
0.038882535533409646,0.06511627906976741,0.6098615916955018,0.023255813953488413,0.5000000000000001
